epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.7225,1.30352,6.65122,0.02927,0.00476,0.83333,0.07899,0.03015,1.46125,13.193,0.04479,4.287e-05,4.287e-05,4.287e-05
2,85.7347,1.27202,5.91539,0.02575,0.00348,0.83333,0.0959,0.03236,1.7298,13.5646,0.0542,9.83795e-05,9.83795e-05,9.83795e-05
3,128.018,1.29199,5.92008,0.02642,0.00341,0.83333,0.07722,0.02638,1.69152,13.5292,0.05087,0.000152003,0.000152003,0.000152003
4,169.174,1.11954,5.90996,0.02272,0.00395,1,0.2319,0.10082,1.55667,13.1884,0.04741,0.00020374,0.00020374,0.00020374
5,210.416,1.11978,5.7842,0.02131,0.004,1,0.21514,0.13157,1.61774,13.2307,0.04956,0.00025359,0.00025359,0.00025359
6,253.802,1.08098,5.51666,0.02101,0.00406,1,0.2437,0.11281,1.05473,12.3425,0.0321,0.000301555,0.000301555,0.000301555
7,308.24,1.02404,5.65095,0.02083,0.004,1,0.19348,0.11578,1.03986,12.2274,0.03105,0.000347633,0.000347633,0.000347633
8,367.064,1.06476,5.29535,0.02081,0.00372,1,0.62469,0.19964,1.27186,12.5891,0.0355,0.000391825,0.000391825,0.000391825
9,424.143,1.07252,5.75033,0.02243,0.00358,1,0.55029,0.14245,1.25417,12.5022,0.03391,0.00043413,0.00043413,0.00043413
10,472.18,1.04329,5.05744,0.01985,0.00357,1,0.50556,0.14392,1.04498,12.0449,0.02738,0.000474549,0.000474549,0.000474549
11,520.592,1.05184,5.61141,0.02273,0.00347,1,0.38924,0.16135,0.90606,11.6901,0.02511,0.000513082,0.000513082,0.000513082
12,569.55,1.09421,5.04816,0.02231,0.00353,1,0.33215,0.18731,1.35072,12.2767,0.0463,0.000549729,0.000549729,0.000549729
13,613.337,1.11759,4.78101,0.02243,0.00349,1,0.17101,0.06588,1.62761,12.6584,0.05614,0.00058449,0.00058449,0.00058449
14,656.364,1.03555,4.50544,0.02064,0.0035,1,0.27306,0.10513,1.3697,12.2294,0.04571,0.000617364,0.000617364,0.000617364
15,702.782,1.07782,4.37971,0.02253,0.00372,1,0.55415,0.21408,1.2633,11.8938,0.03588,0.000648352,0.000648352,0.000648352
16,743.174,1.05837,4.1903,0.02034,0.00379,1,0.58104,0.24293,1.27873,11.8227,0.03866,0.000677453,0.000677453,0.000677453
17,783.645,1.09128,4.17384,0.02286,0.00388,1,0.63456,0.25744,1.07938,11.4197,0.03366,0.000704668,0.000704668,0.000704668
18,824.232,1.08144,3.81294,0.02063,0.00392,1,0.62924,0.25467,1.00504,11.2175,0.03076,0.000729998,0.000729998,0.000729998
19,865.421,1.08543,4.00173,0.02164,0.00405,1,0.50666,0.23032,1.04001,11.2418,0.03242,0.00075344,0.00075344,0.00075344
20,907.225,1.06119,4.17827,0.02456,0.1857,0.44444,0.45958,0.20737,1.01446,11.1471,0.03157,0.000774997,0.000774997,0.000774997
21,948.063,1.03229,3.97678,0.02153,0.85412,0.3778,0.53685,0.22897,1.70921,11.6235,0.06049,0.000794667,0.000794667,0.000794667
22,988.473,1.14673,3.73905,0.02597,0.88113,0.34879,0.5481,0.23412,1.97191,11.5769,0.07646,0.000812451,0.000812451,0.000812451
23,1028.91,1.01247,3.57236,0.02161,0.52206,0.3327,0.61116,0.24228,1.56501,11.2327,0.05739,0.000828348,0.000828348,0.000828348
24,1069.53,1.07029,3.69766,0.02163,0.86804,0.16667,0.56857,0.25015,1.63945,11.0417,0.05403,0.00084236,0.00084236,0.00084236
25,1109.69,1.12597,3.60441,0.02283,0.83531,0.27778,0.54784,0.26902,2.00899,11.0576,0.06726,0.000854485,0.000854485,0.000854485
26,1150.48,0.98942,3.45533,0.01991,0.84584,0.43036,0.58237,0.28613,2.01594,10.8471,0.06912,0.000839537,0.000839537,0.000839537
27,1192.76,0.90777,3.21958,0.01775,0.90629,0.58826,0.6173,0.28273,2.04092,10.432,0.07125,0.000815959,0.000815959,0.000815959
28,1234.98,0.9045,3.12911,0.01855,0.77501,0.38889,0.56314,0.24,2.01246,10.2767,0.07179,0.00079238,0.00079238,0.00079238
29,1275.82,0.92378,2.94543,0.01742,0.6346,0.38889,0.45682,0.21031,1.98188,10.1789,0.0682,0.000768802,0.000768802,0.000768802
30,1321.16,0.88802,2.9105,0.01729,0.65593,0.44428,0.56746,0.24727,1.6945,9.77455,0.05344,0.000745223,0.000745223,0.000745223
31,1362.23,0.94165,3.07139,0.01925,0.82845,0.4445,0.81305,0.36917,1.73731,9.74919,0.0555,0.000721645,0.000721645,0.000721645
32,1402.46,0.94366,2.90357,0.01835,0.79811,0.22766,0.77565,0.36633,1.66633,9.54245,0.05213,0.000698066,0.000698066,0.000698066
33,1442.46,0.97641,3.00902,0.02076,0.83796,0.16667,0.81137,0.36092,1.51757,9.33972,0.04829,0.000674488,0.000674488,0.000674488
34,1482.8,0.97806,3.06166,0.01899,0.80973,0.27778,0.78071,0.29294,1.74661,9.40926,0.05944,0.000650909,0.000650909,0.000650909
35,1523.01,1.02891,2.91567,0.02096,0.89626,0.38524,0.83,0.27491,1.70435,9.19989,0.061,0.000627331,0.000627331,0.000627331
36,1562.69,0.93041,2.70669,0.0192,0.8987,0.39185,0.849,0.28065,1.78062,9.15056,0.06174,0.000603752,0.000603752,0.000603752
37,1603.23,0.87222,2.6785,0.0176,0.81074,0.38519,0.83917,0.29645,1.76853,9.01322,0.06392,0.000580174,0.000580174,0.000580174
38,1643.55,0.89743,2.64959,0.01674,0.59658,0.61111,0.77028,0.24914,1.85146,8.86603,0.06802,0.000556595,0.000556595,0.000556595
39,1683.8,0.88019,2.67307,0.01715,0.57679,0.77152,0.85878,0.25502,1.43696,8.55424,0.04973,0.000533017,0.000533017,0.000533017
40,1723.59,0.87658,2.49547,0.0173,0.64513,0.76605,0.88444,0.24907,1.50657,8.50586,0.04943,0.000509438,0.000509438,0.000509438
41,1764.48,0.81156,2.26003,0.01482,0.6722,0.85926,0.78517,0.24997,1.79688,8.3234,0.06271,0.00048586,0.00048586,0.00048586
42,1804.96,0.84597,2.51139,0.01716,0.66035,0.77754,0.78517,0.26917,1.68266,8.06127,0.05887,0.000462281,0.000462281,0.000462281
43,1845.63,0.8724,2.69725,0.01707,0.58462,0.51593,0.65619,0.27879,1.66367,7.90795,0.05757,0.000438703,0.000438703,0.000438703
44,1885.7,0.822,2.37415,0.01591,0.58687,0.513,0.66671,0.26132,1.71064,7.87235,0.05877,0.000415124,0.000415124,0.000415124
45,1925.65,0.7949,2.40635,0.0161,0.40764,0.61588,0.64006,0.23974,1.77217,7.92917,0.06026,0.000391546,0.000391546,0.000391546
46,1965.72,0.86889,2.40134,0.0174,0.32868,0.66667,0.68567,0.24432,1.82383,7.95264,0.0629,0.000367967,0.000367967,0.000367967
